hitid,uid,ranking
4,179,"[94, 63, 304, 174, 391, 116, 437]"
4,180,"[437, 421, 116, 391, 304, 363, 174, 355, 255, 361]"
4,184,"[255, 283, 355, 391, 437, 116, 304, 63, 174]"
4,185,"[63, 391, 304, 283, 174, 222, 355, 437, 255]"
4,187,"[283, 63, 437, 174, 116, 255, 391]"
4,189,"[116, 63, 391, 437, 283, 174]"
4,190,"[437, 391, 116, 63, 174]"
4,194,"[361, 437, 63, 405, 355, 116, 174, 391, 283]"
4,196,"[88, 361, 423, 355, 174, 421, 255, 192, 63, 363, 238, 359, 116, 391, 405, 283]"
4,197,"[94, 437, 116, 423, 174, 391, 283, 255, 405, 88, 361, 63, 192, 304, 355, 421]"
4,201,"[238, 283, 94, 437, 304]"
4,205,"[116, 391, 437, 174, 405, 355, 63, 94]"
4,211,"[192, 361, 423, 363, 359, 283, 255, 355, 88, 63, 437, 94, 174, 304, 238, 391, 405, 116, 421, 222]"
4,212,"[304, 355, 174, 421, 255, 222, 192, 283, 391, 437, 63, 94, 88]"
4,214,"[391, 116, 437, 63, 355, 174, 361]"
4,217,"[423, 304, 391, 94, 437, 116, 255, 355]"
4,224,"[391, 116, 437, 174, 355]"
4,229,"[283, 355, 88, 255, 174, 63, 361, 437, 391]"
4,231,"[391, 283, 437, 63, 174]"
4,232,"[63, 361, 174, 283, 391, 437, 116, 355]"
4,233,"[391, 437, 116, 405]"
4,240,"[363, 192, 421, 437, 423, 255, 174, 222, 355, 304, 283, 391]"
4,243,"[283, 174, 63, 361, 94, 255, 116, 437]"
4,244,"[437, 391, 63, 355, 174]"
4,246,"[116, 391, 437, 63, 238, 174, 421, 355]"
4,250,"[283, 391, 255, 63, 355, 437, 304, 116, 174, 222]"
4,252,"[437, 116, 391, 94, 255, 283]"
4,261,"[94, 283, 63, 361, 405, 116, 391, 255, 437, 304, 192, 363, 222, 238, 174, 355, 88, 359, 421, 423]"
4,263,"[421, 361, 437]"
4,266,"[391, 94, 63, 437, 116, 361, 355, 174, 255]"
